,Packet ID,Address,Data,Read/Write,ACK/NAK
,6,0x2B,0xB1,Read,ACK
,6,0x2B,0x02,Read,ACK
,6,0x2B,0x85,Read,ACK
,6,0x2B,0x0C,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0xC6,Read,ACK
,6,0x2B,0x96,Read,ACK
,6,0x2B,0x76,Read,ACK
,6,0x2B,0x02,Read,ACK
,6,0x2B,0x75,Read,ACK
,6,0x2B,0x08,Read,ACK
,6,0x2B,0xB1,Read,ACK
,6,0x2B,0x02,Read,ACK
,6,0x2B,0x85,Read,ACK
,6,0x2B,0x0B,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0xC7,Read,ACK
,6,0x2B,0x95,Read,ACK
,6,0x2B,0x80,Read,ACK
,6,0x2B,0x75,Read,ACK
,6,0x2B,0x08,Read,ACK
,6,0x2B,0xB1,Read,ACK
,6,0x2B,0x02,Read,ACK
,6,0x2B,0x85,Read,ACK
,6,0x2B,0x5D,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x95,Read,ACK
,6,0x2B,0x1B,Read,ACK
,6,0x2B,0x75,Read,ACK
,6,0x2B,0x08,Read,ACK
,6,0x2B,0x81,Read,ACK
,6,0x2B,0x06,Read,ACK
,6,0x2B,0xC0,Read,ACK
,6,0x2B,0x06,Read,ACK
,6,0x2B,0x00,Read,ACK
,6,0x2B,0xFF,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0xA1,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x15,Read,ACK
,6,0x2B,0x00,Read,ACK
,6,0x2B,0x26,Read,ACK
,6,0x2B,0xFF,Read,ACK
,6,0x2B,0x00,Read,ACK
,6,0x2B,0x75,Read,ACK
,6,0x2B,0x08,Read,ACK
,6,0x2B,0x85,Read,ACK
,6,0x2B,0x06,Read,ACK
,6,0x2B,0x95,Read,ACK
,6,0x2B,0x3F,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x81,Read,ACK
,6,0x2B,0x02,Read,ACK
,6,0x2B,0x09,Read,ACK
